year,quarter,pincode,registered_users
2018,1,,0
2018,1,,0
2018,1,,0
2018,1,,0
2018,1,,0
2018,1,,0
2018,1,,0
2018,1,,0
2018,1,,0
2018,1,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,2,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,3,,0
2018,4,,0
2018,4,,0
2018,4,,0
2018,4,,0
2018,4,,0
2018,4,,0
2018,4,,0
2018,4,,0
2018,4,,0
2018,4,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,1,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,2,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,3,,0
2019,4,,0
2019,4,,0
2019,4,,0
2019,4,,0
2019,4,,0
2019,4,,0
2019,4,,0
2019,4,,0
2019,4,,0
2019,4,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,1,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,2,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,3,,0
2020,4,,0
2020,4,,0
2020,4,,0
2020,4,,0
2020,4,,0
2020,4,,0
2020,4,,0
2020,4,,0
2020,4,,0
2020,4,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,1,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,2,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,3,,0
2021,4,,0
2021,4,,0
2021,4,,0
2021,4,,0
2021,4,,0
2021,4,,0
2021,4,,0
2021,4,,0
2021,4,,0
2021,4,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,1,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,2,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,3,,0
2022,4,,0
2022,4,,0
2022,4,,0
2022,4,,0
2022,4,,0
2022,4,,0
2022,4,,0
2022,4,,0
2022,4,,0
2022,4,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,1,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,2,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,3,,0
2023,4,,0
2023,4,,0
2023,4,,0
2023,4,,0
2023,4,,0
2023,4,,0
2023,4,,0
2023,4,,0
2023,4,,0
2023,4,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,1,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,2,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,3,,0
2024,4,,0
2024,4,,0
2024,4,,0
2024,4,,0
2024,4,,0
2024,4,,0
2024,4,,0
2024,4,,0
2024,4,,0
2024,4,,0
